date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:52	20795/20795	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2009:41:52%20GMT	https://nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-195862?device=desktop	C:/My%20Web%20Sites/arom1/nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-1958623c52.html	(from )
15:41:53	342/342	---M-Z	200	added ('OK')	text/plain	etag:%220953f5dbbebd91:0%22	https://nicepage.com/robots.txt		(from )
15:41:54	30014/30014	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2009:41:53%20GMT	https://nicepage.com/html5-template/preview/html5-template	C:/My%20Web%20Sites/arom1/nicepage.com/html5-template/preview/html5-template.1.delayed	(from https://nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-195862?device=desktop)
15:41:56	29994/29994	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2009:41:55%20GMT	https://nicepage.com/html5-template/preview/window.location.href	C:/My%20Web%20Sites/arom1/nicepage.com/html5-template/preview/window.location.2.delayed	(from https://nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-195862?device=desktop)
15:41:56	201312/201312	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2021%20Sep%202023%2009:41:56%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/arom1/connect.facebook.net/en_US/fbevents.js	(from https://nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-195862?device=desktop)
15:41:57	55079/55079	---M-Z	200	added ('OK')	application/javascript	etag:%22b568e7b3c9d94da6a1d4845b18400f7a%22	https://cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js	C:/My%20Web%20Sites/arom1/cdn.amplitude.com/libs/amplitude-5.2.2-min.gz.js	(from https://nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-195862?device=desktop)
15:42:02	29975/29975	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2009:41:58%20GMT	https://nicepage.com/html5-template/preview/a	C:/My%20Web%20Sites/arom1/nicepage.com/html5-template/preview/a.7.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
15:42:03	181297/181297	---MCZ	200	added ('OK')	text/css	etag:W/%22be37786f4ff671a3b888e195554ca0d0%22	http://capp.nicepage.com/256293535171ad80f7699dcfb6567a76d6ae59ab/main-libs.css	C:/My%20Web%20Sites/arom1/capp.nicepage.com/256293535171ad80f7699dcfb6567a76d6ae59ab/main-libs.css	(from https://nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-195862?device=desktop)
15:42:04	29978/29978	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2009:42:03%20GMT	https://nicepage.com/html5-template/preview/POST	C:/My%20Web%20Sites/arom1/nicepage.com/html5-template/preview/POST.8.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
15:42:05	490008/490008	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22314f798bdea88c6a1d1f9f0fc1fd31e4%22	http://capp.nicepage.com/256293535171ad80f7699dcfb6567a76d6ae59ab/main-libs.js	C:/My%20Web%20Sites/arom1/capp.nicepage.com/256293535171ad80f7699dcfb6567a76d6ae59ab/main-libs.js	(from https://nicepage.com/html5-template/preview/aromatherapy-and-fitness-spa-195862?device=desktop)
